year,net_major_score
2002,-1.2826244092299137
2004,0.2071938775510204
2006,0.5383307885108467
2008,-0.6760652362121815
2010,-0.5471794621979735
2012,0.1207911001236094
2014,-0.18166686481987873
2016,1.8391992524846392
2018,1.3423070369739307
2020,1.297985502186993
