year,net_nonmajor_score
2002,-0.26880733944954127
2004,1.3123214285714286
2006,-0.5641439313186022
2008,-4.069167232140768
2010,-1.631503312548714
2012,-0.8370086526576019
2014,-6.272886695993342
2016,-9.42611207067418
2018,-6.790059148552929
2020,-5.754584471322668
