cntry,year,mean_attitude,n_respondents,net_restrict_score,n_restrict,n_liberal,n_policy_actions,net_major_score,net_nonmajor_score
FR,2014,4.8792627636507,1691,-25,7,32,39,-2,-23
FR,2016,4.872002884442041,1849,-46,15,61,76,-2,-44
FR,2018,5.091538607474863,1757,-18,26,44,70,1,-19
FR,2020,5.364613317981194,1737,10,24,14,38,2,8
GB,2002,4.557477477477478,1850,-3,6,9,15,-1,-2
GB,2004,4.577700077700078,1716,2,11,9,20,2,0
GB,2006,4.382644372193838,2153,7,13,6,19,5,2
GB,2008,4.458987783595114,2101,13,15,2,17,3,10
GB,2010,4.462345389071552,2129,9,13,4,17,1,8
GB,2012,4.529411764705882,2006,5,9,4,13,0,5
GB,2014,4.612536343423979,1949,15,27,12,39,1,14
GB,2016,5.422241957765936,1689,22,43,21,64,0,22
GB,2018,5.603651044409339,1899,-6,16,22,38,0,-6
GB,2020,6.163487282463186,996,-13,5,18,23,0,-13
GR,2002,3.3372212441314555,2272,-1,8,9,17,-4,3
GR,2004,3.50234521575985,2132,1,3,2,5,-1,2
GR,2008,3.272133402097301,1939,-13,3,16,19,-3,-10
GR,2010,2.872869802317655,2445,-2,5,7,12,0,-2
GR,2020,4.143103236126492,2709,0,19,19,38,-1,1
HR,2008,4.679693486590038,1305,-4,0,4,4,-1,-3
HR,2010,4.798239352843207,1401,-5,1,6,7,-1,-4
HR,2018,4.952261306532663,1592,-8,10,18,28,-1,-7
HR,2020,5.190390173410405,1384,-13,6,19,25,0,-13
HU,2002,4.35511778194705,1599,-4,2,6,8,0,-4
HU,2004,4.171820098383696,1423,-5,3,8,11,-1,-4
HU,2006,3.974818458655423,1423,-5,2,7,9,1,-6
HU,2008,4.0950934053567405,1481,-9,0,9,9,-2,-7
HU,2010,4.429452669358457,1486,-2,6,8,14,-2,0
HU,2012,4.646870677731673,1928,6,14,8,22,-2,8
HU,2014,4.174155029346286,1647,-8,11,19,30,-3,-5
HU,2016,3.404128837008215,1542,16,35,19,54,2,14
HU,2018,3.726401179941003,1582,24,34,10,44,0,24
HU,2020,3.9669837716843874,1787,4,7,3,10,1,3
IE,2002,5.231127846512462,1859,0,4,4,8,-1,1
IE,2004,5.733491311216429,2110,13,18,5,23,7,6
IE,2006,5.73443579766537,1542,-1,8,9,17,3,-4
IE,2008,5.223461798512508,1479,-11,2,13,15,-2,-9
IE,2010,4.627860235003092,2156,4,8,4,12,2,2
IE,2012,4.934245960502693,2228,-2,5,7,12,1,-3
IE,2014,5.019236986744261,2062,-22,4,26,30,-2,-20
IE,2016,5.633870265563779,2297,-14,13,27,40,0,-14
IE,2018,5.980088495575221,1808,-2,15,17,32,1,-3
IE,2020,6.305496579381929,1413,-7,10,17,27,1,-8
IS,2004,6.407272727272727,550,-3,7,10,17,-6,3
IS,2012,6.3444602272727275,704,-2,0,2,2,0,-2
IS,2016,7.022855987055016,824,-1,1,2,3,-1,0
IS,2018,7.2121786767804466,791,-1,1,2,3,-2,1
IS,2020,7.30498177399757,823,0,1,1,2,-1,1
IT,2002,5.0390625,1152,5,13,8,21,0,5
IT,2012,5.014911287278219,883,-1,9,10,19,1,-2
IT,2016,3.901166877548151,2371,-30,9,39,48,1,-31
IT,2018,4.295755609624223,2466,-12,23,35,58,0,-12
IT,2020,4.892318244170096,2430,12,21,9,30,7,5
LT,2010,4.718436873747495,1497,0,3,3,6,-1,1
LT,2012,5.160220525869381,1965,-2,8,10,18,2,-4
LT,2014,5.022264631043257,2096,-5,11,16,27,2,-7
LT,2016,4.788290513833992,2024,-9,15,24,39,0,-9
LT,2018,5.071592210767468,1746,-24,7,31,38,0,-24
LT,2020,4.987481434330575,1571,-8,11,19,30,0,-8
LU,2002,6.301625239005737,1046,-5,1,6,7,-4,-1
LU,2004,5.753356684179801,1142,-3,1,4,5,-2,-1
LV,2008,4.205602750809061,1648,-4,9,13,22,0,-4
LV,2018,5.385637193856373,803,-19,8,27,35,1,-20
LV,2020,5.480921526277897,926,-8,6,14,20,0,-8
NL,2002,5.122934667273003,2199,1,3,2,5,0,1
NL,2004,5.0083576287657925,1715,4,8,4,12,3,1
NL,2006,5.3841046670572155,1707,1,8,7,15,2,-1
NL,2008,5.486396677050882,1605,-8,2,10,12,1,-9
NL,2010,5.504945598417409,1685,-4,5,9,14,1,-5
NL,2012,5.580051710421638,1676,1,8,7,15,1,0
NL,2014,5.354082612872238,1735,-2,18,20,38,3,-5
NL,2016,5.533722438391699,1542,-8,26,34,60,7,-15
NL,2018,5.773203926818384,1494,-10,23,33,56,3,-13
NL,2020,6.087484510532838,1345,-4,12,16,28,0,-4
NO,2002,5.282078286817623,1899,-6,5,11,16,0,-6
NO,2004,5.198159509202454,1630,10,13,3,16,5,5
NO,2006,5.430153846153846,1625,8,13,5,18,3,5
NO,2008,5.603269818866149,1417,5,10,5,15,1,4
NO,2010,5.516873027433843,1373,-4,6,10,16,1,-5
NO,2012,5.780516431924883,1420,-3,7,10,17,2,-5
NO,2014,5.608478146392838,1266,3,12,9,21,-1,4
NO,2016,5.684969696969697,1375,11,28,17,45,2,9
NO,2018,5.975849256900212,1256,8,23,15,38,3,5
NO,2020,6.391923990498812,1263,4,13,9,22,2,2
PL,2002,5.315640126856953,1997,-3,2,5,7,-1,-2
PL,2004,5.4489898989898995,1650,-6,2,8,10,1,-7
PL,2006,5.979002624671916,1651,-8,1,9,10,0,-8
PL,2008,5.9526248399487836,1562,-13,1,14,15,-3,-10
PL,2010,5.871130952380953,1680,-11,1,12,13,-1,-10
PL,2012,6.051212450235252,1842,-6,1,7,8,-2,-4
PL,2014,5.401665598975016,1561,-13,8,21,29,-3,-10
PL,2016,5.319959473150963,1645,-16,4,20,24,-2,-14
PL,2018,5.63554633471646,1446,-13,7,20,27,1,-14
PL,2020,6.167819499341238,2024,-20,8,28,36,1,-21
PT,2002,4.675946275946276,1365,-2,8,10,18,-3,1
PT,2004,4.173358315488937,1868,1,8,7,15,0,1
PT,2006,4.61059270779333,1929,-7,3,10,13,1,-8
PT,2008,4.835276741293533,2144,-8,7,15,22,4,-12
PT,2010,4.537434064999149,1959,-6,2,8,10,0,-6
PT,2012,4.330126582278481,1975,-1,2,3,5,-1,0
PT,2014,4.865086206896552,1160,2,7,5,12,1,1
PT,2016,5.580194063926941,1168,0,10,10,20,2,-2
PT,2018,5.976111723631018,907,-18,4,22,26,-3,-15
PT,2020,5.805713085486242,1587,-9,3,12,15,0,-9
RO,2008,5.292259083728278,1899,-10,1,11,12,-1,-9
SE,2002,6.185227058601846,1769,-4,0,4,4,-2,-2
SE,2004,5.929509132420091,1752,-2,2,4,6,0,-2
SE,2006,6.066647035728307,1698,-5,3,8,11,-1,-4
SE,2008,6.173395445134576,1610,-12,4,16,20,-4,-8
SE,2010,6.502651515151515,1320,-9,3,12,15,-5,-4
SE,2012,6.274948240165631,1610,0,4,4,8,-1,1
SE,2014,6.537693298969073,1552,-5,10,15,25,0,-5
SE,2016,6.279735682819383,1362,-7,16,23,39,4,-11
SE,2018,6.34413933384185,1311,-7,14,21,35,4,-11
SE,2020,5.515067805123054,1991,-4,7,11,18,1,-5
SI,2002,4.626943005181347,1351,1,7,6,13,-1,2
SI,2004,4.545466254507986,1294,-3,3,6,9,2,-5
SI,2006,4.575143785946487,1333,-5,3,8,11,0,-5
SI,2008,4.569088319088319,1170,-8,4,12,16,-3,-5
SI,2010,4.353158868622786,1261,3,10,7,17,0,3
