,coef,std err,z,P>|z|,[0.025,0.975]
net_restrict_std,    0.0029,    0.039,    0.075, 0.940,   -0.073,    0.078
econ_dissatisfied,   -0.7199,    0.040,  -17.842, 0.000,   -0.799,   -0.641
net_restrict_std:econ_dissatisfied,    0.0189,    0.035,    0.547, 0.584,   -0.049,    0.087
agea,   -0.0046,    0.001,   -3.497, 0.000,   -0.007,   -0.002
eduyrs,    0.1204,    0.008,   15.410, 0.000,    0.105,    0.136
